Site,Date,Month,Year,Pair,Plot,Treatment,Entomobryidae,Hypogastruidae,Isotomidae,Onychuridae,Smithuridae,Tomoceridae,Araneae,Chilopoda,Opiliones,Pseudoscorpinada,Mesostigmata,Orbatida,Prostigmata,Astigmata,Carabidae,Hyphae,Garlic_Mustard,Bare_Ground,Litter_Layer,Moss,Course_Woody_Debris,Herbaceous,Shrub,Trees,GM_Stem_Number,Fungivores,Predators
Greene Valley,5-Aug,August,2014,10,19,Invaded,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2.94,4,3,3,1,2,4,1,1,56,5,0
Nippersink,30-Jun,July,2014,11,21,Invaded,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.49,4,1,4,1,3,1,1,1,61,1,2
Nippersink,4-Aug,August,2014,11,21,Invaded,0,1,1,2,0,0,0,0,0,0,2,7,0,0,0,1.46,4,1,4,1,3,1,1,1,61,11,2
Nippersink,30-Jun,July,2014,12,23,Invaded,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.49,4,2,2,1,1,5,1,1,62,2,0
Nippersink,4-Aug,August,2014,12,23,Invaded,0,0,2,0,0,0,1,0,0,0,3,10,0,4,0,0.49,4,2,2,1,1,5,1,1,62,12,3
Nippersink,30-Jun,July,2014,13,25,Invaded,0,1,2,0,0,0,0,0,0,0,4,4,0,0,0,0,3,1,3,1,4,3,1,1,54,7,4
Nippersink,4-Aug,August,2014,13,25,Invaded,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,3,1,3,1,4,3,1,1,54,6,1
Nippersink,30-Jun,July,2014,14,27,Invaded,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,1.95,4,1,3,1,1,4,1,1,65,8,0
Nippersink,4-Aug,August,2014,14,27,Invaded,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.49,4,1,3,1,1,4,1,1,65,8,1
Nippersink,30-Jun,July,2014,15,29,Invaded,0,0,2,1,0,0,0,0,0,0,3,12,1,0,0,0,4,1,2,1,4,1,4,1,87,15,4
Nippersink,4-Aug,August,2014,15,29,Invaded,0,1,2,0,0,0,0,0,0,0,6,13,0,0,0,0,4,1,2,1,4,1,4,1,87,16,6
Pioneer Rd,30-Jun,July,2014,16,31,Invaded,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2,1,1,3,2,1,1,70,0,2
Pioneer Rd,4-Aug,August,2014,16,31,Invaded,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,5,2,1,1,3,2,1,1,70,2,2
Pioneer Rd,30-Jun,July,2014,17,33,Invaded,0,0,2,0,0,0,0,2,0,0,2,12,0,0,0,0.49,7,2,2,1,2,1,1,1,101,14,2
Pioneer Rd,4-Aug,August,2014,17,33,Invaded,1,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,7,2,2,1,2,1,1,1,101,4,7
Pioneer Rd,30-Jun,July,2014,18,35,Invaded,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,1,1,2,1,1,115,3,0
Pioneer Rd,4-Aug,August,2014,18,35,Invaded,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,1.5,6,2,2,1,1,2,1,1,115,4,5
Pioneer Rd,30-Jun,July,2014,19,37,Invaded,0,0,1,2,2,0,0,0,0,0,3,0,1,0,0,0,5,2,2,1,2,3,1,1,102,5,4
Pioneer Rd,4-Aug,August,2014,19,37,Invaded,0,0,0,6,0,0,0,1,0,0,1,3,1,0,0,0.48,5,2,2,1,2,3,1,1,102,9,2
Pioneer Rd,30-Jun,July,2014,20,39,Invaded,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,2,1,1,2,3,1,104,2,0
Pioneer Rd,4-Aug,August,2014,20,39,Invaded,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.98,5,2,2,1,1,2,3,1,104,0,3
West Campus,8-Jul,July,2014,21,41,Invaded,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,2,1,2,3,1,1,90,1,0
West Campus,12-Aug,August,2014,21,41,Invaded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,1,2,3,1,1,90,0,0
West Campus,8-Jul,July,2014,22,43,Invaded,0,0,3,1,0,0,0,1,0,0,8,3,0,0,0,0,6,2,1,1,2,2,1,1,105,7,8
West Campus,12-Aug,August,2014,22,43,Invaded,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,6,2,1,1,2,2,1,1,105,5,0
West Campus,8-Jul,July,2014,23,45,Invaded,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0.98,5,3,2,1,2,3,1,1,60,5,0
West Campus,12-Aug,August,2014,23,45,Invaded,0,0,2,0,0,0,0,1,0,0,1,6,0,0,0,0,5,3,2,1,2,3,1,1,60,8,1
West Campus,8-Jul,July,2014,24,47,Invaded,0,0,1,2,0,0,0,0,0,0,2,2,0,0,0,0.49,5,1,2,1,3,3,1,1,95,5,2
West Campus,12-Aug,August,2014,24,47,Invaded,0,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,5,1,2,1,3,3,1,1,95,3,4
West Campus,8-Jul,July,2014,25,49,Invaded,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0.99,5,1,2,1,3,4,1,1,55,5,5
West Campus,12-Aug,August,2014,25,49,Invaded,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,1,2,1,3,4,1,1,55,3,0
Derwen Mawr,1-Jul,July,2015,26,51,Invaded,1,0,7,1,1,1,0,0,0,0,7,53,1,1,0,0,6,2,1,1,1,1,1,1,108,64,8
Derwen Mawr,7-Aug,August,2015,26,51,Invaded,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0.96,6,2,1,1,1,1,1,1,108,5,1
Derwen Mawr,1-Jul,July,2015,27,53,Invaded,1,0,0,0,0,0,0,0,0,0,3,52,1,0,0,0,7,1,1,1,1,1,1,1,92,53,4
Derwen Mawr,7-Aug,August,2015,27,53,Invaded,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0.99,7,1,1,1,1,1,1,1,92,34,1
Derwen Mawr,1-Jul,July,2015,28,55,Invaded,0,0,11,0,0,0,0,0,0,0,6,55,1,2,0,0,5,1,2,1,2,3,1,1,68,66,7
Derwen Mawr,7-Aug,August,2015,28,55,Invaded,1,0,1,1,0,0,0,0,0,1,2,46,1,0,0,0,5,1,2,1,2,3,1,1,68,49,3
Derwen Mawr,1-Jul,July,2015,29,57,Invaded,0,0,7,0,0,0,0,0,0,0,6,83,1,0,0,0,6,1,1,1,1,3,1,1,104,90,7
Derwen Mawr,7-Aug,August,2015,29,57,Invaded,0,0,2,0,0,0,0,0,0,0,1,9,0,0,0,0.49,6,1,1,1,1,3,1,1,104,11,1
Derwen Mawr,1-Jul,July,2015,30,59,Invaded,2,0,9,3,3,3,0,0,0,0,12,20,1,0,0,0.49,7,1,1,1,1,1,1,1,144,40,13
Derwen Mawr,7-Aug,August,2015,30,59,Invaded,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0.49,7,1,1,1,1,1,1,1,144,13,2
Greene Valley,6-Jul,July,2015,31,61,Invaded,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,4,1,2,1,2,4,1,1,26,2,0
Greene Valley,31-Jul,August,2015,31,61,Invaded,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0.95,4,1,2,1,2,4,1,1,26,9,0
Greene Valley,6-Jul,July,2015,32,63,Invaded,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.99,4,1,1,1,1,4,1,1,44,2,0
Greene Valley,31-Jul,August,2015,32,63,Invaded,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0.48,4,1,1,1,1,4,1,1,44,2,6
Greene Valley,6-Jul,July,2015,33,65,Invaded,3,0,3,2,2,0,0,0,0,1,5,1,0,0,0,0.49,3,1,3,1,2,4,3,1,21,11,5
Greene Valley,31-Jul,August,2015,33,65,Invaded,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,3,1,3,1,2,4,3,1,21,2,1
Greene Valley,6-Jul,July,2015,34,67,Invaded,0,1,0,0,0,0,0,0,0,1,5,7,0,0,0,0,4,2,3,1,1,1,1,1,27,8,5
Greene Valley,31-Jul,August,2015,34,67,Invaded,3,3,0,0,0,0,0,0,0,0,4,4,6,2,0,0,4,2,3,1,1,1,1,1,27,10,10
Greene Valley,6-Jul,July,2015,35,69,Invaded,0,0,0,0,1,0,0,0,0,1,5,7,0,0,0,0.98,4,1,3,1,3,4,1,1,60,8,5
Greene Valley,31-Jul,August,2015,35,69,Invaded,1,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,4,1,3,1,3,4,1,1,60,4,7
Nippersink,24-Jun,July,2015,36,71,Invaded,1,0,0,2,0,0,0,0,0,0,11,13,0,0,0,0,5,3,3,1,3,1,1,1,68,16,11
Nippersink,4-Aug,August,2015,36,71,Invaded,0,0,7,3,1,0,0,0,0,0,14,4,0,0,0,0.49,5,3,3,1,3,1,1,1,68,15,14
Nippersink,24-Jun,July,2015,37,73,Invaded,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0.48,6,3,1,1,1,1,1,1,96,3,1
Nippersink,4-Aug,August,2015,37,73,Invaded,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0.49,6,3,1,1,1,1,1,1,96,3,2
Nippersink,24-Jun,July,2015,38,75,Invaded,0,0,2,1,3,0,0,0,0,0,9,5,2,0,0,0.49,5,2,1,1,1,1,1,1,48,11,11
Nippersink,4-Aug,August,2015,38,75,Invaded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,1,1,1,1,48,0,0
Nippersink,24-Jun,July,2015,39,77,Invaded,0,0,2,2,0,0,0,0,0,0,16,18,1,0,0,0,5,2,1,1,1,1,1,1,128,22,17
Nippersink,4-Aug,August,2015,39,77,Invaded,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.83,5,2,1,1,1,1,1,1,128,2,0
Nippersink,24-Jun,July,2015,40,79,Invaded,3,2,3,3,3,0,0,0,0,0,7,3,1,0,0,0.49,4,4,1,1,2,1,1,1,62,17,8
Nippersink,4-Aug,August,2015,40,79,Invaded,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,4,4,1,1,2,1,1,1,62,0,0
Pioneer Rd,14-Jul,July,2015,41,81,Invaded,0,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0.97,6,2,3,1,2,1,1,1,103,5,2
Pioneer Rd,4-Aug,August,2015,41,81,Invaded,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.48,6,2,3,1,2,1,1,1,103,1,0
Pioneer Rd,14-Jul,July,2015,42,83,Invaded,2,1,10,1,0,0,0,0,0,0,1,2,0,0,0,0.49,5,3,3,1,2,1,1,1,90,16,1
Pioneer Rd,4-Aug,August,2015,42,83,Invaded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,2,1,1,1,90,0,0
Pioneer Rd,14-Jul,July,2015,43,85,Invaded,0,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,6,1,3,1,1,1,1,1,130,3,4
Pioneer Rd,4-Aug,August,2015,43,85,Invaded,38,0,0,2,0,0,0,0,0,2,3,3,0,0,0,0.49,6,1,3,1,1,1,1,1,130,43,3
Pioneer Rd,14-Jul,July,2015,44,87,Invaded,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0.97,6,1,2,1,3,1,1,1,109,8,2
Pioneer Rd,4-Aug,August,2015,44,87,Invaded,10,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0.48,6,1,2,1,3,1,1,1,109,13,7
Pioneer Rd,14-Jul,July,2015,45,89,Invaded,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,6,2,1,1,1,1,1,1,116,4,1
Pioneer Rd,4-Aug,August,2015,45,89,Invaded,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.48,6,2,1,1,1,1,1,1,116,6,0
West Campus,1-Jul,July,2015,46,91,Invaded,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,7,1,1,1,1,1,1,1,236,1,0
West Campus,7-Aug,August,2015,46,91,Invaded,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,1,1,1,1,1,1,236,2,0
West Campus,1-Jul,July,2015,47,93,Invaded,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.49,7,1,1,1,1,1,1,1,260,1,0
West Campus,7-Aug,August,2015,47,93,Invaded,2,0,6,0,0,0,0,0,0,0,3,5,1,0,0,0.49,7,1,1,1,1,1,1,1,260,13,4
West Campus,1-Jul,July,2015,48,95,Invaded,1,0,11,1,1,0,0,0,0,0,10,5,0,0,0,0.49,7,1,1,1,1,1,1,1,184,19,10
West Campus,7-Aug,August,2015,48,95,Invaded,6,0,1,0,0,2,0,0,0,0,1,3,2,0,0,0.49,7,1,1,1,1,1,1,1,184,12,3
West Campus,1-Jul,July,2015,49,97,Invaded,1,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0.98,7,1,1,1,1,1,1,1,168,7,2
West Campus,7-Aug,August,2015,49,97,Invaded,6,1,0,1,0,0,0,0,0,0,11,12,3,0,0,0.48,7,1,1,1,1,1,1,1,168,20,14
West Campus,1-Jul,July,2015,50,99,Invaded,3,0,2,1,0,0,0,2,0,0,1,2,1,2,0,0.49,7,1,1,1,1,1,1,1,200,8,2
West Campus,7-Aug,August,2015,50,99,Invaded,1,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,7,1,1,1,1,1,1,1,200,5,1
Derwen Mawr,8-Jul,July,2014,1,2,Uninvaded,3,1,3,5,0,0,0,0,0,0,7,18,0,1,0,0,1,2,2,1,2,1,7,1,0,30,7
Derwen Mawr,12-Aug,August,2014,1,2,Uninvaded,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,2.92,1,2,2,1,2,1,7,1,0,10,1
Derwen Mawr,8-Jul,July,2014,2,4,Uninvaded,0,0,3,3,0,0,0,0,0,0,2,5,0,0,0,0.49,1,5,1,1,2,2,4,1,0,11,2
Derwen Mawr,12-Aug,August,2014,2,4,Uninvaded,16,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0.49,1,5,1,1,2,2,4,1,0,39,3
Derwen Mawr,8-Jul,July,2014,3,6,Uninvaded,1,0,2,0,0,0,0,0,0,0,1,7,0,0,0,0,1,2,3,1,3,4,4,1,0,10,1
Derwen Mawr,12-Aug,August,2014,3,6,Uninvaded,2,0,1,0,0,0,0,0,0,1,2,56,0,0,0,1.95,1,2,3,1,3,4,4,1,0,59,2
Derwen Mawr,8-Jul,July,2014,4,8,Uninvaded,1,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,1,2,4,1,4,4,1,1,0,11,2
Derwen Mawr,12-Aug,August,2014,4,8,Uninvaded,0,0,5,2,0,0,0,0,0,0,0,54,0,0,0,0.49,1,2,4,1,4,4,1,1,0,61,0
Derwen Mawr,8-Jul,July,2014,5,10,Uninvaded,1,0,4,0,0,0,0,0,0,1,3,14,0,0,0,0,1,2,5,1,3,4,1,1,0,19,3
Derwen Mawr,12-Aug,August,2014,5,10,Uninvaded,0,0,2,0,0,0,0,0,0,1,0,45,0,0,0,0,1,2,5,1,3,4,1,1,0,47,0
Greene Valley,7-Jul,July,2014,6,12,Uninvaded,0,0,3,5,0,1,0,0,0,0,3,2,0,0,0,0,1,2,1,1,1,7,1,1,0,11,3
Greene Valley,5-Aug,August,2014,6,12,Uninvaded,1,0,0,6,0,0,0,0,0,0,2,7,0,0,0,0.49,1,2,1,1,1,7,1,1,0,14,2
Greene Valley,7-Jul,July,2014,7,14,Uninvaded,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0.49,1,2,2,1,2,6,1,1,0,3,2
Greene Valley,5-Aug,August,2014,7,14,Uninvaded,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.49,1,2,2,1,2,6,1,1,0,4,0
Greene Valley,7-Jul,July,2014,8,16,Uninvaded,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,1,2,2,1,2,6,1,1,0,4,2
Greene Valley,5-Aug,August,2014,8,16,Uninvaded,1,1,0,3,0,0,0,0,0,0,1,3,0,0,0,2.48,1,2,2,1,2,6,1,1,0,8,1
Greene Valley,7-Jul,July,2014,9,18,Uninvaded,0,1,0,0,0,1,0,0,0,0,4,2,0,0,0,0,1,2,2,1,3,6,1,1,0,4,4
Greene Valley,5-Aug,August,2014,9,18,Uninvaded,0,0,0,14,0,0,0,1,0,0,4,2,0,2,0,0,1,2,2,1,3,6,1,1,0,16,4
Greene Valley,7-Jul,July,2014,10,20,Uninvaded,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,2,2,1,2,6,1,1,0,4,0
Greene Valley,5-Aug,August,2014,10,20,Uninvaded,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,2,2,1,2,6,1,1,0,3,1
Nippersink,30-Jun,July,2014,11,22,Uninvaded,2,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1.97,1,1,2,1,1,5,3,1,0,16,0
Nippersink,4-Aug,August,2014,11,22,Uninvaded,0,0,2,6,0,0,0,0,0,0,6,21,0,0,0,0.49,1,1,2,1,1,5,3,1,0,29,6
Nippersink,30-Jun,July,2014,12,24,Uninvaded,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.46,1,1,2,1,1,7,1,1,0,2,0
Nippersink,4-Aug,August,2014,12,24,Uninvaded,2,0,0,1,0,0,0,0,0,0,8,9,0,0,0,0,1,1,2,1,1,7,1,1,0,12,8
Nippersink,4-Aug,August,2014,13,26,Uninvaded,0,0,2,2,0,0,0,1,0,0,0,1,1,0,0,0.49,1,3,1,1,1,5,1,1,0,5,1
Nippersink,30-Jun,July,2014,14,28,Uninvaded,1,0,1,0,0,0,0,0,0,0,6,9,0,0,0,0.98,1,4,1,1,1,5,1,1,0,11,6
Nippersink,4-Aug,August,2014,14,28,Uninvaded,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0.49,1,4,1,1,1,5,1,1,0,3,1
Nippersink,30-Jun,July,2014,15,30,Uninvaded,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2.93,1,2,2,1,1,7,1,1,0,2,2
Nippersink,4-Aug,August,2014,15,30,Uninvaded,0,1,2,0,0,0,0,0,0,0,5,4,0,0,0,0,1,2,2,1,1,7,1,1,0,7,5
Pioneer Rd,30-Jun,July,2014,16,32,Uninvaded,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,3,1,3,4,1,1,0,1,1
Pioneer Rd,4-Aug,August,2014,16,32,Uninvaded,1,0,3,1,0,0,0,2,0,0,1,11,0,0,0,1.48,1,4,3,1,3,4,1,1,0,16,1
Pioneer Rd,30-Jun,July,2014,17,34,Uninvaded,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49,1,2,1,1,1,7,1,1,0,1,0
Pioneer Rd,4-Aug,August,2014,17,34,Uninvaded,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2.45,1,2,1,1,1,7,1,1,0,6,2
Pioneer Rd,30-Jun,July,2014,18,36,Uninvaded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,7,1,1,0,0,0
Pioneer Rd,4-Aug,August,2014,18,36,Uninvaded,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.49,1,2,2,1,1,7,1,1,0,2,0
Pioneer Rd,30-Jun,July,2014,19,38,Uninvaded,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,2,2,1,1,7,1,1,0,2,1
Pioneer Rd,4-Aug,August,2014,19,38,Uninvaded,0,0,0,1,0,0,0,0,0,1,2,5,0,0,0,0.97,1,2,2,1,1,7,1,1,0,6,2
Pioneer Rd,30-Jun,July,2014,20,40,Uninvaded,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,5,1,1,0,0,0
Pioneer Rd,4-Aug,August,2014,20,40,Uninvaded,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,1,1,5,1,1,0,1,1
West Campus,8-Jul,July,2014,21,42,Uninvaded,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0.98,1,1,4,1,2,5,1,1,0,6,1
West Campus,12-Aug,August,2014,21,42,Uninvaded,0,0,2,1,0,0,0,0,0,0,1,10,0,0,0,0.49,1,1,4,1,2,5,1,1,0,13,1
West Campus,8-Jul,July,2014,22,44,Uninvaded,0,0,2,1,0,2,0,0,0,0,4,23,0,1,0,0.97,1,1,4,1,2,5,1,1,0,28,4
West Campus,12-Aug,August,2014,22,44,Uninvaded,0,0,1,5,0,0,0,1,0,0,0,7,0,0,0,0.49,1,1,4,1,2,5,1,1,0,13,0
West Campus,8-Jul,July,2014,23,46,Uninvaded,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,1,1,3,1,2,6,1,1,0,6,1
West Campus,12-Aug,August,2014,23,46,Uninvaded,0,0,1,1,0,0,0,1,0,0,1,5,1,0,0,2.44,1,1,3,1,2,6,1,1,0,7,2
West Campus,8-Jul,July,2014,24,48,Uninvaded,0,0,2,0,0,1,0,3,0,0,2,2,0,0,0,0,1,2,4,1,1,5,2,1,0,5,2
West Campus,12-Aug,August,2014,24,48,Uninvaded,0,0,0,1,0,0,0,0,0,0,12,7,0,0,0,1.95,1,2,4,1,1,5,2,1,0,8,12
West Campus,8-Jul,July,2014,25,50,Uninvaded,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,1,4,4,1,1,0,5,0
West Campus,12-Aug,August,2014,25,50,Uninvaded,0,0,4,0,0,0,0,2,0,0,2,9,0,0,0,1.95,1,1,4,1,4,4,1,1,0,13,2
Derwen Mawr,1-Jul,July,2015,26,52,Uninvaded,2,1,9,3,0,0,0,0,0,0,4,105,3,0,0,0.49,1,3,3,1,4,4,1,1,0,120,7
Derwen Mawr,7-Aug,August,2015,26,52,Uninvaded,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,1,3,3,1,4,4,1,1,0,9,0
Derwen Mawr,1-Jul,July,2015,27,54,Uninvaded,1,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1.94,1,2,2,1,3,4,1,1,0,13,1
Derwen Mawr,7-Aug,August,2015,27,54,Uninvaded,0,0,1,0,0,0,0,0,0,0,1,33,2,0,0,0,1,2,2,1,3,4,1,1,0,34,3
Derwen Mawr,1-Jul,July,2015,28,56,Uninvaded,1,2,12,3,0,0,0,0,0,0,24,158,19,0,0,2.94,1,1,1,1,2,6,1,1,0,176,43
Derwen Mawr,7-Aug,August,2015,28,56,Uninvaded,0,0,1,0,0,0,0,0,0,0,16,0,1,0,0,1.48,1,1,1,1,2,6,1,1,0,1,17
Derwen Mawr,1-Jul,July,2015,29,58,Uninvaded,0,0,1,2,1,0,0,1,0,0,21,95,11,0,0,4.99,1,1,3,1,1,4,4,1,0,99,32
Derwen Mawr,7-Aug,August,2015,29,58,Uninvaded,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,1,1,3,1,1,4,4,1,0,54,1
Derwen Mawr,1-Jul,July,2015,30,60,Uninvaded,0,0,2,0,0,1,0,0,0,0,12,174,2,0,0,0,1,1,1,1,1,7,1,1,0,177,14
Derwen Mawr,7-Aug,August,2015,30,60,Uninvaded,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0.97,1,1,1,1,1,7,1,1,0,7,0
Greene Valley,6-Jul,July,2015,31,62,Uninvaded,1,0,4,4,0,0,0,0,0,0,2,4,4,0,0,0.64,1,1,1,1,2,6,3,1,0,13,6
Greene Valley,31-Jul,August,2015,31,62,Uninvaded,0,0,0,1,0,0,0,4,0,0,1,2,1,0,0,1.44,1,1,1,1,2,6,3,1,0,3,2
Greene Valley,6-Jul,July,2015,32,64,Uninvaded,0,1,2,1,0,0,0,0,0,0,4,1,0,0,0,2.45,1,1,1,1,1,7,1,1,0,5,4
Greene Valley,31-Jul,August,2015,32,64,Uninvaded,1,0,0,0,2,0,0,0,0,1,1,1,6,0,0,1.14,1,1,1,1,1,7,1,1,0,4,7
